cam.id,id,mother.id,mother.type,cage.egg,mother.cam.id,d.egg.laid,d.egg.hatch,d.pupa,adult.emerge,adult.mass,sex,mother.alt,pupa.clean.mass,dev.time.larva.success,egg.no.per.brood,aspect.ratio,area,feret,time.40.to.ko,exp.success,time.to.40,time.ko.total,dev.time.egg.to.larva,dev.time.larva.to.pupa,dev.time.pupa.to.adult,dev.time.larva.to.adult,temp.at.ko,,,,
CAM041626,87,19,mid,3,CAM041510,18/06/2018,23/06/2018,07/07/2018,18/07/2018,0.129,male,600,0.404,14,19,1.957,392.967,32.996,00:00:00,yes,NA,00:11:49,5,14,11,25,38.3,,,,
CAM041614,49,2,hig,4,CAM041354,09/06/2018,14/06/2018,27/06/2018,09/07/2018,0.163,female,1312,0.559,13,13,1.83,468.709,34.243,00:00:00,yes,NA,00:06:48,5,13,12,25,38.9,,,,
CAM041637,134,19,mid,3,CAM041510,22/06/2018,27/06/2018,12/07/2018,23/07/2018,0.147,male,600,0.461,15,28,2.125,480.631,38.424,00:00:00,yes,NA,00:04:54,5,15,11,26,38.9,,,,
CAM041666,264,22,hig,4,CAM041585,01/07/2018,06/07/2018,21/07/2018,31/07/2018,0.17,male,1120,0.342,15,7,2.115,404.924,34.734,00:06:39,yes,00:03:36,00:10:15,5,15,10,25,39,,,,
CAM041595,2,2,hig,4,CAM041354,06/06/2018,11/06/2018,25/06/2018,06/07/2018,,female,1312,0.485,14,2,2.15,520.8,40.051,00:15:24,yes,00:08:25,00:23:49,5,14,11,25,39.1,,,,
CAM041619,82,19,mid,3,CAM041510,15/06/2018,18/06/2018,30/06/2018,11/07/2018,0.169,female,600,0.504,12,14,NA,NA,NA,00:02:09,yes,00:11:31,00:13:40,3,12,11,23,39.1,,,,
CAM041605,95,2,hig,4,CAM041354,10/06/2018,14/06/2018,27/06/2018,08/07/2018,0.228,male,1312,0.538,13,15,1.902,504.998,36.698,00:00:15,yes,00:14:12,00:14:27,4,13,11,24,39.2,,,,
CAM041620,91,7,hig,2,CAM041833,18/06/2018,22/06/2018,03/07/2018,13/07/2018,0.153,male,1348,0.511,11,17,2.003,437.383,34.717,00:01:59,yes,00:15:33,00:17:32,4,11,10,21,39.2,,,,
CAM041646,200,16,low,9,CAM041478,28/06/2018,03/07/2018,18/07/2018,28/07/2018,0.193,male,429,0.396,15,4,2.282,486.068,39.929,00:10:14,yes,00:14:15,00:24:29,5,15,10,25,39.2,,,,
CAM041648,210,8,hig,7,CAM041393,28/06/2018,03/07/2018,18/07/2018,28/07/2018,0.238,female,1348,0.518,15,59,1.973,501.908,37.979,00:03:28,yes,00:15:31,00:18:59,5,15,10,25,39.2,,,,
