Month,alt_height_slope,alt_type,side_andes,height,mean.value,sd,type,alt.slope,data.type,mean.value.type,date.wc.plot
m01,high_a_east,high,east,a,14.1,na,tmin,high_east,worldclim,monthly.yearly,01/01/2018
m01,low_a_east,low,east,a,18.9,na,tmin,low_east,worldclim,monthly.yearly,01/01/2018
m01,high_a_west,high,west,a,16.1,na,tmin,high_west,worldclim,monthly.yearly,01/01/2018
m01,low_a_west,low,west,a,19.1,na,tmin,low_west,worldclim,monthly.yearly,01/01/2018
m01,high_a_east,high,east,a,24.9,na,tmax,high_east,worldclim,monthly.yearly,01/01/2018
m01,low_a_east,low,east,a,28.8,na,tmax,low_east,worldclim,monthly.yearly,01/01/2018
m01,high_a_west,high,west,a,24.5,na,tmax,high_west,worldclim,monthly.yearly,01/01/2018
m01,low_a_west,low,west,a,27.4,na,tmax,low_west,worldclim,monthly.yearly,01/01/2018
m01,high_a_east,high,east,a,19.5,na,tmean,high_east,worldclim,monthly.yearly,01/01/2018
m01,low_a_east,low,east,a,23.8,na,tmean,low_east,worldclim,monthly.yearly,01/01/2018
m01,high_a_west,high,west,a,20.3,na,tmean,high_west,worldclim,monthly.yearly,01/01/2018
m01,low_a_west,low,west,a,23.2,na,tmean,low_west,worldclim,monthly.yearly,01/01/2018
m02,high_a_east,high,east,a,14.2,na,tmin,high_east,worldclim,monthly.yearly,01/02/2018
m02,low_a_east,low,east,a,18.8,na,tmin,low_east,worldclim,monthly.yearly,01/02/2018
m02,high_a_west,high,west,a,16.1,na,tmin,high_west,worldclim,monthly.yearly,01/02/2018
m02,low_a_west,low,west,a,19.2,na,tmin,low_west,worldclim,monthly.yearly,01/02/2018
m02,high_a_east,high,east,a,24.8,na,tmax,high_east,worldclim,monthly.yearly,01/02/2018
m02,low_a_east,low,east,a,28.8,na,tmax,low_east,worldclim,monthly.yearly,01/02/2018
m02,high_a_west,high,west,a,24.8,na,tmax,high_west,worldclim,monthly.yearly,01/02/2018
m02,low_a_west,low,west,a,27.9,na,tmax,low_west,worldclim,monthly.yearly,01/02/2018
