"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-01-27","low_c_east","low","east","c",27.91,NA,"temp.max"
"2017-01-27","low_u_east","low","east","u",25.5108333333333,NA,"temp.max"
"2017-01-28","low_c_east","low","east","c",26.4319047619048,NA,"temp.max"
"2017-01-28","low_u_east","low","east","u",24.7508333333333,NA,"temp.max"
"2017-01-29","high_c_east","high","east","c",20.9333333333333,NA,"temp.max"
"2017-01-29","high_u_east","high","east","u",19.9961111111111,NA,"temp.max"
"2017-01-29","low_c_east","low","east","c",24.3833333333333,NA,"temp.max"
"2017-01-29","low_u_east","low","east","u",23.6368518518519,NA,"temp.max"
"2017-01-30","high_c_east","high","east","c",21.7798888888889,NA,"temp.max"
"2017-01-30","high_u_east","high","east","u",20.4840277777778,NA,"temp.max"
"2017-01-30","low_c_east","low","east","c",27.5361111111111,NA,"temp.max"
"2017-01-30","low_u_east","low","east","u",25.1672222222222,NA,"temp.max"
"2017-01-31","high_c_east","high","east","c",22.2858888888889,NA,"temp.max"
"2017-01-31","high_u_east","high","east","u",20.8890277777778,NA,"temp.max"
"2017-01-31","low_c_east","low","east","c",29.3385714285714,NA,"temp.max"
"2017-01-31","low_u_east","low","east","u",26.7452777777778,NA,"temp.max"
"2017-02-01","high_c_east","high","east","c",21.4688888888889,NA,"temp.max"
"2017-02-01","high_u_east","high","east","u",20.3765277777778,NA,"temp.max"
"2017-02-01","low_c_east","low","east","c",29.6735714285714,NA,"temp.max"
"2017-02-01","low_u_east","low","east","u",26.635,NA,"temp.max"
"2017-02-02","high_c_east","high","east","c",20.6344444444444,NA,"temp.max"
"2017-02-02","high_u_east","high","east","u",19.9895833333333,NA,"temp.max"
"2017-02-02","low_c_east","low","east","c",24.5944444444444,NA,"temp.max"
"2017-02-02","low_u_east","low","east","u",23.7413888888889,NA,"temp.max"
"2017-02-03","high_c_east","high","east","c",21.8284444444444,NA,"temp.max"
"2017-02-03","high_u_east","high","east","u",20.6030555555555,NA,"temp.max"
"2017-02-03","low_c_east","low","east","c",28.9076190476191,NA,"temp.max"
"2017-02-03","low_u_east","low","east","u",26.1687962962963,NA,"temp.max"
"2017-02-04","high_c_east","high","east","c",21.9037777777778,NA,"temp.max"
"2017-02-04","high_c_west","high","west","c",24.9296825396825,NA,"temp.max"
"2017-02-04","high_u_east","high","east","u",20.8708333333333,NA,"temp.max"
"2017-02-04","high_u_west","high","west","u",22.928253968254,NA,"temp.max"
"2017-02-04","low_c_east","low","east","c",29.4126984126984,NA,"temp.max"
"2017-02-04","low_c_west","low","west","c",30.0872222222222,NA,"temp.max"
"2017-02-04","low_u_east","low","east","u",26.8806481481482,NA,"temp.max"
"2017-02-04","low_u_west","low","west","u",26.7057407407407,NA,"temp.max"
"2017-02-05","high_c_east","high","east","c",23.179,NA,"temp.max"
"2017-02-05","high_c_west","high","west","c",22.5944444444444,NA,"temp.max"
"2017-02-05","high_u_east","high","east","u",21.6768055555555,NA,"temp.max"
"2017-02-05","high_u_west","high","west","u",21.4226190476191,NA,"temp.max"
"2017-02-05","low_c_east","low","east","c",28.8589682539683,NA,"temp.max"
"2017-02-05","low_c_west","low","west","c",28.2394444444445,NA,"temp.max"
"2017-02-05","low_u_east","low","east","u",26.6027777777778,NA,"temp.max"
"2017-02-05","low_u_west","low","west","u",25.9475925925926,NA,"temp.max"
"2017-02-06","high_c_east","high","east","c",23.6405555555556,NA,"temp.max"
"2017-02-06","high_c_west","high","west","c",23.5259523809524,NA,"temp.max"
"2017-02-06","high_u_east","high","east","u",22.1184722222222,NA,"temp.max"
"2017-02-06","high_u_west","high","west","u",22.0715873015873,NA,"temp.max"
"2017-02-06","low_c_east","low","east","c",29.4311111111111,NA,"temp.max"
"2017-02-06","low_c_west","low","west","c",30.6712037037037,NA,"temp.max"
"2017-02-06","low_u_east","low","east","u",27.4078703703704,NA,"temp.max"
"2017-02-06","low_u_west","low","west","u",28.7858333333333,NA,"temp.max"
"2017-02-07","high_c_east","high","east","c",22.4396666666667,NA,"temp.max"
"2017-02-07","high_c_west","high","west","c",25.1130952380952,NA,"temp.max"
"2017-02-07","high_u_east","high","east","u",21.1152777777778,NA,"temp.max"
"2017-02-07","high_u_west","high","west","u",23.519126984127,NA,"temp.max"
"2017-02-07","low_c_east","low","east","c",27.8685714285714,NA,"temp.max"
"2017-02-07","low_c_west","low","west","c",31.8155555555555,NA,"temp.max"
"2017-02-07","low_u_east","low","east","u",25.4368518518518,NA,"temp.max"
"2017-02-07","low_u_west","low","west","u",30.0092592592592,NA,"temp.max"
"2017-02-08","high_c_east","high","east","c",24.8944444444444,NA,"temp.max"
"2017-02-08","high_c_west","high","west","c",21.908253968254,NA,"temp.max"
"2017-02-08","high_u_east","high","east","u",22.9269444444444,NA,"temp.max"
"2017-02-08","high_u_west","high","west","u",21.1292063492063,NA,"temp.max"
"2017-02-08","low_c_east","low","east","c",29.7013492063492,NA,"temp.max"
"2017-02-08","low_c_west","low","west","c",27.64,NA,"temp.max"
"2017-02-08","low_u_east","low","east","u",27.2198148148148,NA,"temp.max"
"2017-02-08","low_u_west","low","west","u",24.8812962962963,NA,"temp.max"
"2017-02-09","high_c_east","high","east","c",22.3151111111111,NA,"temp.max"
"2017-02-09","high_c_west","high","west","c",22.6363492063492,NA,"temp.max"
"2017-02-09","high_u_east","high","east","u",21.3718055555556,NA,"temp.max"
"2017-02-09","high_u_west","high","west","u",21.5110317460318,NA,"temp.max"
"2017-02-09","low_c_east","low","east","c",28.653253968254,NA,"temp.max"
"2017-02-09","low_c_west","low","west","c",30.1200925925926,NA,"temp.max"
"2017-02-09","low_u_east","low","east","u",26.4734259259259,NA,"temp.max"
"2017-02-09","low_u_west","low","west","u",26.9312037037037,NA,"temp.max"
"2017-02-10","high_c_east","high","east","c",26.3907777777778,NA,"temp.max"
"2017-02-10","high_c_west","high","west","c",25.9069841269841,NA,"temp.max"
"2017-02-10","high_u_east","high","east","u",24.1718055555556,NA,"temp.max"
"2017-02-10","high_u_west","high","west","u",23.7925396825397,NA,"temp.max"
"2017-02-10","low_c_east","low","east","c",32.0557142857143,NA,"temp.max"
"2017-02-10","low_c_west","low","west","c",31.1007407407408,NA,"temp.max"
"2017-02-10","low_u_east","low","east","u",28.5215740740741,NA,"temp.max"
"2017-02-10","low_u_west","low","west","u",27.8363888888889,NA,"temp.max"
"2017-02-11","high_c_east","high","east","c",24.45,NA,"temp.max"
"2017-02-11","high_c_west","high","west","c",23.7070634920635,NA,"temp.max"
"2017-02-11","high_u_east","high","east","u",22.8843055555555,NA,"temp.max"
"2017-02-11","high_u_west","high","west","u",22.1837301587302,NA,"temp.max"
"2017-02-11","low_c_east","low","east","c",30.5526984126984,NA,"temp.max"
"2017-02-11","low_c_west","low","west","c",30.3075,NA,"temp.max"
"2017-02-11","low_u_east","low","east","u",27.8037037037037,NA,"temp.max"
"2017-02-11","low_u_west","low","west","u",27.3056481481482,NA,"temp.max"
"2017-02-12","high_c_east","high","east","c",22.607,NA,"temp.max"
"2017-02-12","high_c_west","high","west","c",20.7751587301587,NA,"temp.max"
"2017-02-12","high_u_east","high","east","u",21.5329166666667,NA,"temp.max"
"2017-02-12","high_u_west","high","west","u",20.3356349206349,NA,"temp.max"
"2017-02-12","low_c_east","low","east","c",28.6231746031746,NA,"temp.max"
"2017-02-12","low_c_west","low","west","c",25.9825925925926,NA,"temp.max"
"2017-02-12","low_u_east","low","east","u",26.8633333333333,NA,"temp.max"
"2017-02-12","low_u_west","low","west","u",24.345462962963,NA,"temp.max"
"2017-02-13","high_c_east","high","east","c",22.5677777777778,NA,"temp.max"
"2017-02-13","high_c_west","high","west","c",19.7823015873016,NA,"temp.max"
"2017-02-13","high_u_east","high","east","u",21.3958333333333,NA,"temp.max"
"2017-02-13","high_u_west","high","west","u",19.3193650793651,NA,"temp.max"
"2017-02-13","low_c_east","low","east","c",31.4121428571429,NA,"temp.max"
"2017-02-13","low_c_west","low","west","c",26.9089814814815,NA,"temp.max"
"2017-02-13","low_u_east","low","east","u",28.2451851851852,NA,"temp.max"
"2017-02-13","low_u_west","low","west","u",24.2651851851852,NA,"temp.max"
"2017-02-14","high_c_east","high","east","c",22.3106666666667,NA,"temp.max"
"2017-02-14","high_c_west","high","west","c",24.245873015873,NA,"temp.max"
"2017-02-14","high_u_east","high","east","u",21.4318055555555,NA,"temp.max"
"2017-02-14","high_u_west","high","west","u",22.8480952380952,NA,"temp.max"
"2017-02-14","low_c_east","low","east","c",27.228253968254,NA,"temp.max"
"2017-02-14","low_c_west","low","west","c",31.9427777777778,NA,"temp.max"
"2017-02-14","low_u_east","low","east","u",25.7650925925926,NA,"temp.max"
"2017-02-14","low_u_west","low","west","u",29.1225925925926,NA,"temp.max"
"2017-02-15","high_c_east","high","east","c",20.7247777777778,NA,"temp.max"
"2017-02-15","high_c_west","high","west","c",22.8883333333333,NA,"temp.max"
"2017-02-15","high_u_east","high","east","u",20.1501388888889,NA,"temp.max"
"2017-02-15","high_u_west","high","west","u",21.6000793650794,NA,"temp.max"
"2017-02-15","low_c_east","low","east","c",25.9114285714286,NA,"temp.max"
"2017-02-15","low_c_west","low","west","c",29.9768518518519,NA,"temp.max"
"2017-02-15","low_u_east","low","east","u",24.3402777777778,NA,"temp.max"
"2017-02-15","low_u_west","low","west","u",27.23,NA,"temp.max"
"2017-02-16","high_c_east","high","east","c",23.8798888888889,NA,"temp.max"
"2017-02-16","high_c_west","high","west","c",24.7954761904762,NA,"temp.max"
"2017-02-16","high_u_east","high","east","u",22.1186111111111,NA,"temp.max"
"2017-02-16","high_u_west","high","west","u",22.6912698412698,NA,"temp.max"
"2017-02-16","low_c_east","low","east","c",30.5057936507937,NA,"temp.max"
"2017-02-16","low_c_west","low","west","c",31.6008333333333,NA,"temp.max"
"2017-02-16","low_u_east","low","east","u",27.3227777777778,NA,"temp.max"
"2017-02-16","low_u_west","low","west","u",28.64,NA,"temp.max"
"2017-02-17","high_c_east","high","east","c",22.7245555555556,NA,"temp.max"
"2017-02-17","high_c_west","high","west","c",27.7130952380952,NA,"temp.max"
"2017-02-17","high_u_east","high","east","u",21.6225,NA,"temp.max"
"2017-02-17","high_u_west","high","west","u",23.9879365079365,NA,"temp.max"
"2017-02-17","low_c_east","low","east","c",31.1496031746032,NA,"temp.max"
"2017-02-17","low_c_west","low","west","c",31.9591666666667,NA,"temp.max"
"2017-02-17","low_u_east","low","east","u",27.8340740740741,NA,"temp.max"
"2017-02-17","low_u_west","low","west","u",29.0405555555555,NA,"temp.max"
"2017-02-18","high_c_east","high","east","c",22.5365555555556,NA,"temp.max"
"2017-02-18","high_c_west","high","west","c",22.533253968254,NA,"temp.max"
"2017-02-18","high_u_east","high","east","u",21.2706944444445,NA,"temp.max"
"2017-02-18","high_u_west","high","west","u",21.2690476190476,NA,"temp.max"
"2017-02-18","low_c_east","low","east","c",27.7449206349206,NA,"temp.max"
"2017-02-18","low_c_west","low","west","c",30.6451851851852,NA,"temp.max"
"2017-02-18","low_u_east","low","east","u",25.7653703703704,NA,"temp.max"
"2017-02-18","low_u_west","low","west","u",28.1725,NA,"temp.max"
"2017-02-19","high_c_east","high","east","c",25.6722222222222,NA,"temp.max"
"2017-02-19","high_c_west","high","west","c",22.4829365079365,NA,"temp.max"
"2017-02-19","high_u_east","high","east","u",23.2390277777778,NA,"temp.max"
"2017-02-19","high_u_west","high","west","u",21.3847619047619,NA,"temp.max"
"2017-02-19","low_c_east","low","east","c",31.2202380952381,NA,"temp.max"
"2017-02-19","low_c_west","low","west","c",31.7359259259259,NA,"temp.max"
"2017-02-19","low_u_east","low","east","u",28.117037037037,NA,"temp.max"
"2017-02-19","low_u_west","low","west","u",28.9416666666667,NA,"temp.max"
"2017-02-20","high_c_east","high","east","c",24.5716666666667,NA,"temp.max"
