"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-01-27","low_c_east","low","east","c",23.9731448412698,NA,"temp.max"
"2017-01-27","low_u_east","low","east","u",23.2590239197531,NA,"temp.max"
"2017-01-28","low_c_east","low","east","c",23.3329001322751,NA,"temp.max"
"2017-01-28","low_u_east","low","east","u",22.8853896604938,NA,"temp.max"
"2017-01-29","high_c_east","high","east","c",17.5260185185185,NA,"temp.max"
"2017-01-29","high_u_east","high","east","u",17.1911805555556,NA,"temp.max"
"2017-01-29","low_c_east","low","east","c",21.9120734126984,NA,"temp.max"
"2017-01-29","low_u_east","low","east","u",21.8810841049383,NA,"temp.max"
"2017-01-30","high_c_east","high","east","c",18.26875,NA,"temp.max"
"2017-01-30","high_u_east","high","east","u",18.0315856481481,NA,"temp.max"
"2017-01-30","low_c_east","low","east","c",22.8468915343915,NA,"temp.max"
"2017-01-30","low_u_east","low","east","u",22.4171566358025,NA,"temp.max"
"2017-01-31","high_c_east","high","east","c",18.4698842592593,NA,"temp.max"
"2017-01-31","high_u_east","high","east","u",18.3309143518519,NA,"temp.max"
"2017-01-31","low_c_east","low","east","c",23.4062665343915,NA,"temp.max"
"2017-01-31","low_u_east","low","east","u",22.9606905864198,NA,"temp.max"
"2017-02-01","high_c_east","high","east","c",18.7747453703704,NA,"temp.max"
"2017-02-01","high_u_east","high","east","u",18.5947453703704,NA,"temp.max"
"2017-02-01","low_c_east","low","east","c",23.9261011904762,NA,"temp.max"
"2017-02-01","low_u_east","low","east","u",23.3384490740741,NA,"temp.max"
"2017-02-02","high_c_east","high","east","c",18.7254444444444,NA,"temp.max"
"2017-02-02","high_u_east","high","east","u",18.6534953703704,NA,"temp.max"
"2017-02-02","low_c_east","low","east","c",22.5794841269841,NA,"temp.max"
"2017-02-02","low_u_east","low","east","u",22.5378240740741,NA,"temp.max"
"2017-02-03","high_c_east","high","east","c",19.1073101851852,NA,"temp.max"
"2017-02-03","high_u_east","high","east","u",18.9394849537037,NA,"temp.max"
"2017-02-03","low_c_east","low","east","c",23.5590376984127,NA,"temp.max"
"2017-02-03","low_u_east","low","east","u",23.1192052469136,NA,"temp.max"
"2017-02-04","high_c_east","high","east","c",19.1510787037037,NA,"temp.max"
"2017-02-04","high_c_west","high","west","c",19.9772023809524,NA,"temp.max"
"2017-02-04","high_u_east","high","east","u",19.0063831018518,NA,"temp.max"
"2017-02-04","high_u_west","high","west","u",19.381087962963,NA,"temp.max"
"2017-02-04","low_c_east","low","east","c",24.2181150793651,NA,"temp.max"
"2017-02-04","low_c_west","low","west","c",23.5402314814815,NA,"temp.max"
"2017-02-04","low_u_east","low","east","u",23.6842939814815,NA,"temp.max"
"2017-02-04","low_u_west","low","west","u",22.7624382716049,NA,"temp.max"
"2017-02-05","high_c_east","high","east","c",19.6577592592593,NA,"temp.max"
"2017-02-05","high_c_west","high","west","c",19.8593022486772,NA,"temp.max"
"2017-02-05","high_u_east","high","east","u",19.231869212963,NA,"temp.max"
"2017-02-05","high_u_west","high","west","u",19.7050496031746,NA,"temp.max"
"2017-02-05","low_c_east","low","east","c",24.3445271164021,NA,"temp.max"
"2017-02-05","low_c_west","low","west","c",23.9344830246914,NA,"temp.max"
"2017-02-05","low_u_east","low","east","u",23.8250077160494,NA,"temp.max"
