"Date","alt_height_slope","alt_type","side_andes","height","value","sd","type"
"2017-01-27","low_c_east","low","east","c",21.415873015873,NA,"temp.min"
"2017-01-27","low_u_east","low","east","u",21.4418518518519,NA,"temp.min"
"2017-01-28","low_c_east","low","east","c",21.6811904761905,NA,"temp.min"
"2017-01-28","low_u_east","low","east","u",21.815462962963,NA,"temp.min"
"2017-01-29","high_c_east","high","east","c",14.9292592592593,NA,"temp.min"
"2017-01-29","high_u_east","high","east","u",14.61,NA,"temp.min"
"2017-01-29","low_c_east","low","east","c",20.2946031746032,NA,"temp.min"
"2017-01-29","low_u_east","low","east","u",20.5351851851852,NA,"temp.min"
"2017-01-30","high_c_east","high","east","c",16.5131111111111,NA,"temp.min"
"2017-01-30","high_u_east","high","east","u",16.5943055555556,NA,"temp.min"
"2017-01-30","low_c_east","low","east","c",20.2404761904762,NA,"temp.min"
"2017-01-30","low_u_east","low","east","u",20.4874074074074,NA,"temp.min"
"2017-01-31","high_c_east","high","east","c",16.8032222222222,NA,"temp.min"
"2017-01-31","high_u_east","high","east","u",16.9151388888889,NA,"temp.min"
"2017-01-31","low_c_east","low","east","c",21.1357142857143,NA,"temp.min"
"2017-01-31","low_u_east","low","east","u",21.3258333333333,NA,"temp.min"
"2017-02-01","high_c_east","high","east","c",16.5938888888889,NA,"temp.min"
"2017-02-01","high_u_east","high","east","u",16.7904166666667,NA,"temp.min"
"2017-02-01","low_c_east","low","east","c",21.2959523809524,NA,"temp.min"
"2017-02-01","low_u_east","low","east","u",21.4651851851852,NA,"temp.min"
"2017-02-02","high_c_east","high","east","c",17.1841111111111,NA,"temp.min"
"2017-02-02","high_u_east","high","east","u",17.2481944444445,NA,"temp.min"
"2017-02-02","low_c_east","low","east","c",21.6675396825397,NA,"temp.min"
"2017-02-02","low_u_east","low","east","u",21.8353703703704,NA,"temp.min"
"2017-02-03","high_c_east","high","east","c",17.6982222222222,NA,"temp.min"
"2017-02-03","high_u_east","high","east","u",17.7840277777778,NA,"temp.min"
"2017-02-03","low_c_east","low","east","c",21.4388888888889,NA,"temp.min"
"2017-02-03","low_u_east","low","east","u",21.620462962963,NA,"temp.min"
"2017-02-04","high_c_east","high","east","c",17.5603333333333,NA,"temp.min"
"2017-02-04","high_c_west","high","west","c",17.1583333333333,NA,"temp.min"
"2017-02-04","high_u_east","high","east","u",17.65875,NA,"temp.min"
"2017-02-04","high_u_west","high","west","u",17.0528571428572,NA,"temp.min"
"2017-02-04","low_c_east","low","east","c",21.5413492063492,NA,"temp.min"
"2017-02-04","low_c_west","low","west","c",18.1586111111111,NA,"temp.min"
"2017-02-04","low_u_east","low","east","u",21.7275925925926,NA,"temp.min"
"2017-02-04","low_u_west","low","west","u",17.9857407407407,NA,"temp.min"
"2017-02-05","high_c_east","high","east","c",17.0843333333333,NA,"temp.min"
"2017-02-05","high_c_west","high","west","c",18.7111111111111,NA,"temp.min"
"2017-02-05","high_u_east","high","east","u",17.1831944444444,NA,"temp.min"
"2017-02-05","high_u_west","high","west","u",18.7722222222222,NA,"temp.min"
"2017-02-05","low_c_east","low","east","c",21.8926984126984,NA,"temp.min"
"2017-02-05","low_c_west","low","west","c",21.5627777777778,NA,"temp.min"
"2017-02-05","low_u_east","low","east","u",22.0584259259259,NA,"temp.min"
"2017-02-05","low_u_west","low","west","u",21.7459259259259,NA,"temp.min"
"2017-02-06","high_c_east","high","east","c",18.1788888888889,NA,"temp.min"
"2017-02-06","high_c_west","high","west","c",17.6275396825397,NA,"temp.min"
"2017-02-06","high_u_east","high","east","u",18.2177777777778,NA,"temp.min"
"2017-02-06","high_u_west","high","west","u",17.7430158730159,NA,"temp.min"
"2017-02-06","low_c_east","low","east","c",21.8177777777778,NA,"temp.min"
"2017-02-06","low_c_west","low","west","c",21.4274074074074,NA,"temp.min"
"2017-02-06","low_u_east","low","east","u",22.0464814814815,NA,"temp.min"
"2017-02-06","low_u_west","low","west","u",21.6106481481482,NA,"temp.min"
