"Time","side_andes","alt_type","height","alt_height_slope","alt_height_type","value","sd","alt.type_height"
"00:00:00","east","high","c","high_c_east","high_c",18.0175247448337,0.0882074014555754,"high_c"
"00:00:00","east","high","u","high_u_east","high_u",18.1402172236291,0.0951613699879158,"high_u"
"00:00:00","east","low","c","low_c_east","low_c",22.2577597804355,0.0858113463185042,"low_c"
"00:00:00","east","low","u","low_u_east","low_u",22.407133661298,0.0682026447281784,"low_u"
"00:00:00","west","high","c","high_c_west","high_c",18.3697346853241,0.326185425171046,"high_c"
"00:00:00","west","high","u","high_u_west","high_u",18.4000317268488,0.30697607790245,"high_u"
"00:00:00","west","low","c","low_c_west","low_c",21.5536919631859,0.11422993002043,"low_c"
"00:00:00","west","low","u","low_u_west","low_u",21.7994255555505,0.207843751347027,"low_u"
"01:00:00","east","high","c","high_c_east","high_c",17.8514368550094,0.104396264579972,"high_c"
"01:00:00","east","high","u","high_u_east","high_u",17.9660599963365,0.0976777975578637,"high_u"
"01:00:00","east","low","c","low_c_east","low_c",22.0646144515154,0.0807564206841033,"low_c"
"01:00:00","east","low","u","low_u_east","low_u",22.2259973985276,0.0725176047093641,"low_u"
"01:00:00","west","high","c","high_c_west","high_c",18.2701234405137,0.318398229269547,"high_c"
"01:00:00","west","high","u","high_u_west","high_u",18.3069368218393,0.301587934235374,"high_u"
"01:00:00","west","low","c","low_c_west","low_c",21.4094180166863,0.124233296454658,"low_c"
"01:00:00","west","low","u","low_u_west","low_u",21.6680547389551,0.209985052183673,"low_u"
"02:00:00","east","high","c","high_c_east","high_c",17.6906169945115,0.114435252275806,"high_c"
"02:00:00","east","high","u","high_u_east","high_u",17.8038390062165,0.100651961124636,"high_u"
"02:00:00","east","low","c","low_c_east","low_c",21.883155676249,0.0780902919653664,"low_c"
"02:00:00","east","low","u","low_u_east","low_u",22.0523308176533,0.0776504736535943,"low_u"
"02:00:00","west","high","c","high_c_west","high_c",18.1750330022241,0.317905684838214,"high_c"
"02:00:00","west","high","u","high_u_west","high_u",18.207160345014,0.299249379939856,"high_u"
"02:00:00","west","low","c","low_c_west","low_c",21.2574703613179,0.129362435771037,"low_c"
"02:00:00","west","low","u","low_u_west","low_u",21.5250216766043,0.21113636829381,"low_u"
"03:00:00","east","high","c","high_c_east","high_c",17.5427377379701,0.126209636286215,"high_c"
"03:00:00","east","high","u","high_u_east","high_u",17.6478529088489,0.106312943271348,"high_u"
"03:00:00","east","low","c","low_c_east","low_c",21.7146219796162,0.0810807968446213,"low_c"
"03:00:00","east","low","u","low_u_east","low_u",21.8890970213495,0.0804807911768385,"low_u"
"03:00:00","west","high","c","high_c_west","high_c",18.0831525038395,0.314438051255239,"high_c"
"03:00:00","west","high","u","high_u_west","high_u",18.113651833599,0.298156447476406,"high_u"
"03:00:00","west","low","c","low_c_west","low_c",21.1119656340164,0.13480177443197,"low_c"
