type,datalogger_id,alt_height_slope,alt_type,side_andes,height,mean.value,alt.slope,alt.type_height,data.type,mean.value.type,month
temp.max,H_01,low_u_east,low,east,u,27.3540009,low_east,low_u,wild,daily.annual.mean,annual
temp.max,H_02,low_c_east,low,east,c,28.87772401,low_east,low_c,wild,daily.annual.mean,annual
temp.max,H_03,low_u_east,low,east,u,25.60761947,low_east,low_u,wild,daily.annual.mean,annual
temp.max,H_04,low_c_east,low,east,c,27.76907738,low_east,low_c,wild,daily.annual.mean,annual
temp.max,H_05,high_u_east,high,east,u,20.98404696,high_east,high_u,wild,daily.annual.mean,annual
temp.max,H_06,high_c_east,high,east,c,21.89280694,high_east,high_c,wild,daily.annual.mean,annual
temp.max,H_07,high_u_east,high,east,u,21.523031,high_east,high_u,wild,daily.annual.mean,annual
temp.max,H_08,high_c_east,high,east,c,22.36444138,high_east,high_c,wild,daily.annual.mean,annual
temp.max,H_09,high_u_west,high,west,u,20.1464589,high_west,high_u,wild,daily.annual.mean,annual
temp.max,H_10,high_c_west,high,west,c,20.95602981,high_west,high_c,wild,daily.annual.mean,annual
temp.max,H_11,high_u_west,high,west,u,20.59673442,high_west,high_u,wild,daily.annual.mean,annual
temp.max,H_12,high_c_west,high,west,c,20.58449112,high_west,high_c,wild,daily.annual.mean,annual
temp.max,H_13,low_u_west,low,west,u,24.53317424,low_west,low_u,wild,daily.annual.mean,annual
temp.max,H_14,low_c_west,low,west,c,25.84391162,low_west,low_c,wild,daily.annual.mean,annual
temp.max,H_15,low_u_west,low,west,u,24.6414589,low_west,low_u,wild,daily.annual.mean,annual
temp.max,H_16,low_c_west,low,west,c,25.98599067,low_west,low_c,wild,daily.annual.mean,annual
temp.max,T_01,low_u_east,low,east,u,27.44621266,low_east,low_u,wild,daily.annual.mean,annual
temp.max,T_02,low_c_east,low,east,c,29.36097521,low_east,low_c,wild,daily.annual.mean,annual
temp.max,T_03,low_u_east,low,east,u,27.24064516,low_east,low_u,wild,daily.annual.mean,annual
temp.max,T_04,low_c_east,low,east,c,30.65169355,low_east,low_c,wild,daily.annual.mean,annual
temp.max,T_05,low_u_east,low,east,u,26.92109772,low_east,low_u,wild,daily.annual.mean,annual
temp.max,T_06,low_c_east,low,east,c,30.29165323,low_east,low_c,wild,daily.annual.mean,annual
temp.max,T_07,low_u_east,low,east,u,27.00688471,low_east,low_u,wild,daily.annual.mean,annual
temp.max,T_08,low_c_east,low,east,c,28.02179062,low_east,low_c,wild,daily.annual.mean,annual
temp.max,T_09,low_u_east,low,east,u,28.24507353,low_east,low_u,wild,daily.annual.mean,annual
temp.max,T_10,low_c_east,low,east,c,28.43034648,low_east,low_c,wild,daily.annual.mean,annual
temp.max,T_11,high_u_east,high,east,u,23.87315315,high_east,high_u,wild,daily.annual.mean,annual
