"x","y","month","value","data.type","alt.slope","alt"
-77.7484657142857,-0.693372142857143,"m01",141,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m01",189,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m02",142,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m02",188,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m03",142,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m03",187,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m04",143,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m04",188,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m05",142,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m05",188,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m06",137,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m06",184,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m07",134,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m07",182,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m08",132,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m08",182,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m09",137,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m09",186,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m10",141,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m10",188,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m11",143,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m11",190,"tmin","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m12",141,"tmin","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m12",190,"tmin","low_east",420.714285714286
-78.8610371428571,0.157750714285714,"m01",161,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m01",191,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m02",161,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m02",192,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m03",162,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m03",194,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m04",163,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m04",195,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m05",162,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m05",194,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m06",157,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m06",189,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m07",151,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m07",183,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m08",149,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m08",181,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m09",151,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m09",182,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m10",155,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m10",185,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m11",152,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m11",181,"tmin","low_west",468.428571428571
-78.8610371428571,0.157750714285714,"m12",156,"tmin","high_west",1208.71428571429
-78.9472557142857,0.210414285714286,"m12",187,"tmin","low_west",468.428571428571
-77.7484657142857,-0.693372142857143,"m01",249,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m01",288,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m02",248,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m02",288,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m03",247,"tmax","high_east",1219.92857142857
-77.6252328571429,-1.06727428571429,"m03",286,"tmax","low_east",420.714285714286
-77.7484657142857,-0.693372142857143,"m04",246,"tmax","high_east",1219.92857142857
