cam_code,egg.id,mother.id,body.mass,type.reared,type.alt,genus,species,subsp,sex,exp.success,time.to.40,time.ko.total,time.40.to.ko,temp.at.ko,recovered,area.mm2,aspect.ratio,pred.present,error.affects.length.big,altitude,mins.40.to.ko,mins.to.40,mins.ko.total,locality
CAM041595,2,2,NA,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:08:25,00:23:49,00:15:24,39.1,yes,520.8,2.15,n,n,1312,15.4,8.416666667,00:23:49,Ikiam Mariposario
CAM041596,3,2,NA,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:07:56,00:16:56,00:09:00,40,yes,530.373,2.15,n,n,1312,9,7.933333333,00:16:56,Ikiam Mariposario
CAM041597,16,2,NA,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:06:52,00:15:56,00:09:04,40.1,yes,449.995,2.36,n,y,1312,9.066666667,6.866666667,00:15:56,Ikiam Mariposario
CAM041600,17,2,0.493,reared,hig_f1,Heliconius,erato,lativitta,female,no,,,,NA,,NA,NA,,,1312,NA,NA,,
CAM041601,5,2,0.507,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:25:45,00:26:55,00:01:10,39.4,yes,532.126,2.165,n,n,1312,1.166666667,25.75,00:26:55,Ikiam Mariposario
CAM041604,13,2,0.579,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:15:45,00:18:30,00:02:45,40.2,yes,509.025,2.132,n,n,1312,2.75,15.75,00:18:30,Ikiam Mariposario
CAM041605,95,2,0.586,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:14:12,00:14:27,00:00:15,39.2,yes,504.998,1.902,n,y,1312,0.25,14.2,00:14:27,Ikiam Mariposario
CAM041614,49,2,0.521,reared,hig_f1,Heliconius,erato,lativitta,female,yes,,00:06:48,00:00:00,38.9,yes,468.709,1.83,n,y,1312,6.8,NA,00:06:48,Ikiam Mariposario
CAM041617,30,2,0.509,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:22:01,00:23:31,00:01:30,40.5,yes,544.811,2.068,n,n,1312,1.5,22.01666667,00:23:31,Ikiam Mariposario
CAM041611,38,7,0.511,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:05:10,00:10:28,00:05:18,39.5,yes,531.737,2.05,n,n,1348,5.3,5.166666667,00:10:28,Ikiam Mariposario
CAM041612,41,7,0.506,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:07:09,00:12:55,00:05:46,39.3,yes,528.634,1.933,n,n,1348,5.766666667,7.15,00:12:55,Ikiam Mariposario
CAM041620,91,7,0.511,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:15:33,00:17:32,00:01:59,39.2,yes,437.383,2.003,n,y,1348,1.983333333,15.55,00:17:32,Ikiam Mariposario
CAM041621,42,7,0.468,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:08:03,00:10:30,00:02:27,39.6,yes,344.824,1.97,n,y,1348,2.45,8.05,00:10:30,Ikiam Mariposario
CAM041627,73,7,0.46,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:10:39,00:14:06,00:03:27,39.6,yes,445.109,1.759,n,y,1348,3.45,10.65,00:14:06,Ikiam Mariposario
CAM041630,113,7,0.484,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:09:23,00:15:25,00:06:02,40,yes,358.269,1.85,n,y,1348,6.033333333,9.383333333,00:15:25,Ikiam Mariposario
CAM041633,144,7,0.557,reared,hig_f1,Heliconius,erato,lativitta,female,yes,00:24:30,00:29:31,00:05:01,40.6,yes,455.005,1.883,n,y,1348,5.016666667,24.5,00:29:31,Ikiam Mariposario
CAM041635,121,7,0.525,reared,hig_f1,Heliconius,erato,lativitta,male,yes,00:11:01,00:12:59,00:01:58,40.8,yes,463.194,2.332,n,y,1348,1.966666667,11.01666667,00:12:59,Ikiam Mariposario
